01,001,BEAUREGARD,01480,41030,VECT
01,001,BELIGNEUX,01360,41032,VECT
01,001,BELLEGARDE-SUR-VALSERINE,01200,40033,VECT
01,001,BELLEY,01300,40034,VECT
01,001,BELLEYDOUX,01130,40035,VECT
01,001,BELLIGNAT,01100,40031,VECT
01,001,BELMONT-LUTHEZIEU,01260,40036,VECT
01,001,BENONCES,01470,40037,VECT
01,001,BENY,01370,42038,VECT
01,001,BEON,01350,40039,VECT
01,001,BEREZIAT,01340,42040,VECT
01,001,BETTANT,01500,40041,VECT
01,001,BEY,01290,42042,VECT
01,001,BEYNOST,01700,41043,VECT
01,001,BILLIAT,01200,40044,VECT
01,001,BIRIEUX,01330,41045,VECT
01,001,BIZIAT,01290,41046,VECT
01,001,BLYES,01150,40047,VECT
01,001,BOHAS-MEYRIAT-RIGNAT,01250,42245,VECT
01,001,BOISSEY,01380,42050,VECT
01,001,BOLOZON,01450,40051,VECT
01,001,BOULIGNEUX,01330,41052,VECT
01,001,BOURG-EN-BRESSE,01000,42053,VECT
01,001,BOURG-SAINT-CHRISTOPHE,01800,41054,VECT
01,001,BOYEUX-SAINT-JEROME,01640,40056,VECT
01,001,BOZ,01190,42057,VECT
01,001,BREGNIER-CORDON,01300,40058,VECT
01,001,BRENAZ,01260,40059,VECT
01,001,BRENOD,01110,40060,VECT
01,001,BRENS,01300,40061,VECT
01,001,BRESSOLLES,01360,41062,VECT
01,001,BRION,01460,40063,VECT
01,001,BRIORD,01470,40064,VECT
01,001,BUELLAS,01310,42065,VECT
01,001,CEIGNES,01430,40067,VECT
01,001,CERDON,01450,40068,VECT
01,001,CERTINES,01240,42069,VECT
01,001,CESSY,01170,40071,VECT
01,001,CEYZERIAT,01250,42072,VECT
01,001,CEYZERIEU,01350,40073,VECT
01,001,CHALAMONT,01320,41074,VECT
01,001,CHALEINS,01480,41075,VECT
01,001,CHALEY,01230,40076,VECT
01,001,CHALLES-LA-MONTAGNE,01450,40077,VECT
01,001,CHALLEX,01630,40078,VECT
01,001,CHAMPAGNE-EN-VALROMEY,01260,40079,VECT
01,001,CHAMPDOR,01110,40080,VECT
01,001,CHAMPFROMIER,01410,40081,VECT
01,001,CHANAY,01420,40082,VECT
01,001,CHANEINS,01990,41083,VECT
01,001,CHANOZ-CHATENAY,01400,41084,VECT
01,001,CHARIX,01130,40087,VECT
01,001,CHARNOZ-SUR-AIN,01800,41088,VECT
01,001,CHATEAU-GAILLARD,01500,40089,VECT
01,001,CHATENAY,01320,41090,VECT
